shahariarhyme,	Local business,	https://www.facebook.com/shahariarhyme,	01718-130898,	10626 likes,	Tuesday 17 November 2020 at 11:46,	Friday 16 October 2020 at 06:52,	
TGS3622,	Shopping & retail · Business service,	https://www.facebook.com/TGS3622,	01613-053320,	6528 likes,	Wednesday 3 February 2021 at 07:59,	Wednesday 9 September 2020 at 08:51,	
sneakford,	Product/service,	https://www.facebook.com/sneakford,	01629-111359,	253 likes,	Saturday 26 December 2020 at 10:04,	Tuesday 10 November 2020 at 02:37,	
LaBellaFamilia,	Shopping & retail · Home decor · Product/service,	https://www.facebook.com/LaBellaFamilia,	01782-767748,	892 likes,	Saturday 23 January 2021 at 03:18,	Saturday 23 January 2021 at 03:17,	Wednesday 30 September 2020 at 04:49
Lasuperbaisrat,	Women's clothes shop · Clothing (brand) · Design & fashion,	https://www.facebook.com/Lasuperbaisrat,	01718-728351,	100831 likes,	,	,	
redbd01,	Beauty, cosmetic & personal care · Women's clothes shop,	https://www.facebook.com/redbd01,	01818-659465,	1324 likes,	Thursday 31 December 2020 at 11:11,	Saturday 12 December 2020 at 01:06,	
themuslimfashion,	Shopping & retail · Product/service,	https://www.facebook.com/themuslimfashion,	01991-004000,	50229 likes,	Thursday 18 June 2020 at 14:07,	Monday 1 June 2020 at 09:05,	
eGameDokan,	Product/service,	https://www.facebook.com/eGameDokan,	,	10819 likes,	Wednesday 13 January 2021 at 21:05,	Wednesday 4 November 2020 at 09:41,	
23sheen,	Jewellery/watches,	https://www.facebook.com/23sheen,	,	14512 likes,	Wednesday 3 February 2021 at 10:28,	Thursday 4 February 2021 at 00:01,	Sunday 3 January 2021 at 00:13
choruibh,	Clothing (brand) · Women's clothes shop,	https://www.facebook.com/choruibh,	01721-195210,	901 likes,	Wednesday 29 July 2020 at 20:59,	Saturday 4 July 2020 at 04:59,	
aambepari,	Shopping & retail · Product/service · Food delivery service,	https://www.facebook.com/aambepari,	01796-021795,	2783 likes,	Thursday 28 January 2021 at 07:41,	Friday 11 December 2020 at 06:27,	
rainbowboutiquebd,	Clothing (brand) · Boutique shop,	https://www.facebook.com/rainbowboutiquebd,	,	4328 likes,	,	,	
eatnjoybd,	Restaurant,	https://www.facebook.com/eatnjoybd,	01734-012626,	380 likes,	Wednesday 11 November 2020 at 18:58,	Saturday 31 October 2020 at 03:43,	
dreambluebirdfashion,	Design & fashion,	https://www.facebook.com/dreambluebirdfashion,	01878-544668,	30067 likes,	Wednesday 3 February 2021 at 04:46,	Monday 1 February 2021 at 04:43,	
